type_id,valeur_id,devise,montant,nom_complet,statut,error_message
PHONE,8884191054,XOF,20000,Abdou Kpangon,ECHOUE,Le type est invalide
PERSONAL_ID,0231397586,XOF,1000,Emile Djegui,SUCCES,
PERSONAL_ID,6934235077,XOF,500,Sylvie Lokossou,SUCCES,
PERSONAL_ID,9368482395,XOF,100,Chabi Ahouansou,SUCCES,
PERSONAL_ID,3948329914,XOF,500,Boris Avocè,SUCCES,
PERSONAL_ID,4329208405,XOF,2500,Claude Agossa,SUCCES,
PERSONAL_ID,0771818770,XOF,100,Mariam Ahossi,SUCCES,
PERSONAL_ID,0171529544,XOF,10000,Landry Gandonou,SUCCES,
PERSONAL_ID,4539151898,XOF,50000,Abdou Gbaguidi,SUCCES,
PERSONAL_ID,9087621504,XOF,2500,Jacques Dossou,SUCCES,
